Spieltag;Heimmannschaft;Auswärtsmannschaft;Tore_Heim;Tore_Gast
24;Hertha BSC;Eintracht Frankfurt;2;0
24;SV Darmstadt 98;Borussia Dortmund;0;2
25;1. FC Köln;FC Schalke 04;1;3
25;1. FSV Mainz 05;SV Darmstadt 98;0;0
25;Borussia Dortmund;FC Bayern München;0;0
25;Eintracht Frankfurt;FC Ingolstadt 04;1;1
25;FC Augsburg;Bayer Leverkusen;3;3
25;Hamburger SV;Hertha BSC;2;0
25;SV Werder Bremen;Hannover 96;4;1
25;VfB Stuttgart;1899 Hoffenheim;5;1
25;VfL Wolfsburg;Borussia Mönchengladbach;2;1
26;1899 Hoffenheim;VfL Wolfsburg;1;0
26;Bayer Leverkusen;Hamburger SV;1;0
26;Borussia Dortmund;1. FSV Mainz 05;2;0
26;Borussia Mönchengladbach;Eintracht Frankfurt;3;0
26;FC Bayern München;SV Werder Bremen;5;0
26;FC Ingolstadt 04;VfB Stuttgart;3;3
26;Hannover 96;1. FC Köln;0;2
26;Hertha BSC;FC Schalke 04;2;0
26;SV Darmstadt 98;FC Augsburg;2;2
27;1. FC Köln;FC Bayern München;0;1
27;Eintracht Frankfurt;Hannover 96;1;0
27;FC Augsburg;Borussia Dortmund;1;3
27;FC Schalke 04;Borussia Mönchengladbach;2;1
27;Hamburger SV;1899 Hoffenheim;1;3
27;Hertha BSC;FC Ingolstadt 04;2;1
27;SV Werder Bremen;1. FSV Mainz 05;1;1
27;VfB Stuttgart;Bayer Leverkusen;0;2
27;VfL Wolfsburg;SV Darmstadt 98;1;1
28;1. FSV Mainz 05;FC Augsburg;4;2
28;1899 Hoffenheim;1. FC Köln;1;1
28;Bayer Leverkusen;VfL Wolfsburg;3;0
28;Borussia Dortmund;SV Werder Bremen;3;2
28;Borussia Mönchengladbach;Hertha BSC;5;0
28;FC Bayern München;Eintracht Frankfurt;1;0
28;FC Ingolstadt 04;FC Schalke 04;3;0
28;Hannover 96;Hamburger SV;0;3
28;SV Darmstadt 98;VfB Stuttgart;2;2
29;1. FC Köln;Bayer Leverkusen;0;2
29;Eintracht Frankfurt;1899 Hoffenheim;0;2
29;FC Ingolstadt 04;Borussia Mönchengladbach;1;0
29;FC Schalke 04;Borussia Dortmund;2;2
29;Hamburger SV;SV Darmstadt 98;1;2
29;Hertha BSC;Hannover 96;2;2
29;SV Werder Bremen;FC Augsburg;1;2
29;VfB Stuttgart;FC Bayern München;1;3
29;VfL Wolfsburg;1. FSV Mainz 05;1;1
30;1. FSV Mainz 05;1. FC Köln;2;3
30;1899 Hoffenheim;Hertha BSC;2;1
30;Bayer Leverkusen;Eintracht Frankfurt;3;0
30;Borussia Dortmund;Hamburger SV;3;0
30;FC Augsburg;VfB Stuttgart;1;0
30;FC Bayern München;FC Schalke 04;3;0
30;Hannover 96;Borussia Mönchengladbach;2;0
30;SV Darmstadt 98;FC Ingolstadt 04;2;0
30;SV Werder Bremen;VfL Wolfsburg;3;2
31;1. FC Köln;SV Darmstadt 98;4;1
31;Borussia Mönchengladbach;1899 Hoffenheim;3;1
31;Eintracht Frankfurt;1. FSV Mainz 05;2;1
31;FC Ingolstadt 04;Hannover 96;2;2
31;FC Schalke 04;Bayer Leverkusen;2;3
31;Hamburger SV;SV Werder Bremen;2;1
31;Hertha BSC;FC Bayern München;0;2
31;VfB Stuttgart;Borussia Dortmund;0;3
31;VfL Wolfsburg;FC Augsburg;0;2
32;1. FSV Mainz 05;Hamburger SV;0;0
32;1899 Hoffenheim;FC Ingolstadt 04;2;1
32;Bayer Leverkusen;Hertha BSC;2;1
32;Borussia Dortmund;VfL Wolfsburg;5;1
32;FC Augsburg;1. FC Köln;0;0
32;FC Bayern München;Borussia Mönchengladbach;1;1
32;Hannover 96;FC Schalke 04;1;3
32;SV Darmstadt 98;Eintracht Frankfurt;1;2
32;SV Werder Bremen;VfB Stuttgart;6;2
33;1. FC Köln;SV Werder Bremen;0;0
33;Borussia Mönchengladbach;Bayer Leverkusen;2;1
33;Eintracht Frankfurt;Borussia Dortmund;1;0
33;FC Ingolstadt 04;FC Bayern München;1;2
33;FC Schalke 04;FC Augsburg;1;1
